YEAR;arctic;greenland;canpup;can1plus;by1plus;bypup
1952;1784;16400;198063;109045;0;0
1953;1784;16400;197975;74911;0;0
1954;1784;19150;175034;89382;0;0
1955;1784;15534;252297;81072;0;0
1956;1784;10973;341397;48013;0;0
1957;1784;12884;165438;80042;0;0
1958;1784;16885;140996;156790;0;0
1959;1784;8928;238832;81302;0;0
1960;1784;16154;156168;121182;0;0
1961;1784;11996;168819;19047;0;0
1962;1784;8500;207088;112901;0;0
1963;1784;10111;270419;71623;0;0
1964;1784;9203;266382;75281;0;0
1965;1784;9289;182758;51495;0;0
1966;1784;7057;251135;72004;0;0
1967;1784;4242;277750;56606;0;0
1968;1784;7116;156458;36238;0;0
1969;1784;6438;233340;55472;0;0
1970;1784;6269;217431;40064;17;60
1971;1784;5572;210579;20387;85;440
1972;1784;5994;116810;13073;141;481
1973;1784;9212;98335;25497;107;361
1974;1784;7145;114825;32810;42;141
1975;1784;6752;140638;33725;66;220
1976;1784;11956;132085;32917;169;926
1977;1784;12866;126982;28161;309;1324
1978;2129;16638;116190;45533;613;2763
1979;3620;17545;132458;28083;572;3031
1980;6350;15255;132421;37105;274;2540
1981;4672;22974;178394;23775;406;3775
1982;4881;26927;145274;21465;347;3470
1983;4881;24785;50058;7831;462;4547
1984;4881;25829;23922;7622;429;3714
1985;4881;20785;13334;5701;642;4345
1986;4881;26099;21888;4046;896;5213
1987;4881;37859;36350;10446;1864;9047
1988;4881;40415;66972;27074;1406;6993
1989;4881;42971;56346;8958;726;7918
1990;4881;45526;34402;25760;795;1974
1991;4881;48082;42382;10206;608;8094
1992;4881;50638;43866;24802;6411;16624
1993;4881;56319;16401;10602;7732;19244
1994;4881;57373;25223;36156;10836;36768
1995;4881;62749;34106;31661;6341;14252
1996;4881;73947;184856;58050;18745;10896
1997;2500;68816;220476;43734;5188;13860
1998;1000;81262;251403;31221;973;3584
1999;500;93117;237644;6908;6325;9843
2000;400;98462.5;85035;7020;1632;9890
2001;600;85427.5;214754;11739;4992;15072
2002;1000;66734.5;297764;14603;3901;5642
2003;1000;66149;280174;9338;1912;3533
2004;1000;70586.5;353553;12418;11228;24642
2005;1000;91687.5;323800;6029;8284;18094
2006;1000;94033.5;346426;8441;5526;16130
2007;1000;82825.5;221488;3257;2990;6460
2008;1000;80444;217565;285;2360;4920
2009;1000;71861.5;76688;0;972;1303
2010;1000;89905;68654;447;1338;2618
2011;1000;73462;40371;18;712;1402
2012;1000;54659.5;71319;141;812;2074
2013;1000;65241;94310;3612;27;150
2014;1000;63028;59616;50;214;952
2015;1000;61767;35302;80;196;844
2016;1000;55520;61016;7344;139;464
2017;1000;47515.5;70270;11472;53;173
2018;1000;58614.3;56135;4887;161;450
2019;1000;58614.3;29913;2125;148;563
