 
#Year Pups 1+
1946 105631 64742
1947 105631 64742
1948 105631 64742
1949 105631 64742
1950 105631 64742
1951 67793 76448
1952 67793 76448
1953 35583 54499
1954 71499 90578
1955 48353 65195
1956 39975 50505
1957 64842 61368
1958 87128 40393
1959 50514 54268
1960 63053 36958
1961 44730 59930
1962 68958 46308
1963 55266 20547
1964 50117 27248
1965 24672 1899
1966 21944 10515
1967 29648 2004
1968 31960 3150
1969 34119 0
1970 38554 0
1971 33694 2598
1972 34864 8709
1973 35607 7474
1974 31329 5554
1975 31255 9192
1976 35792 6873
1977 37436 4271
1978 32341 4103
1979 35326 13205
1980 48394 3308
1981 42004 19027
1982 54594 21366
1983 54431 27658
1984 60244 13727
1985 52348 27702
1986 65859 14290
1987 42412 22385
1988 51918 19081
1989 30989 11888
1990 30500 11479
1991 30500 11480
1992 28351 8310
1993 31000 9258
1994 30500 11500
1995 29404 7082
1996 33910 7139
1997 31334 5065
1998 13368  834
1999 35023  977
2000 40556 4214
2001 39441 4875
2002 34598 1937
2003 40279 2955                  
2004 0	     33
2005 15438 9405
2006 7152 10041
2007 5518 6111
2008 13331 0
2009 0 0
2010 5 115
2011 0 200
2012 0 9
2013 0 0
2014 0 0
2015 0 0
2016 0 28
2017 0 1
2018 21 2220
2019 34 568
